Course Number,Semester,Average,Median
104223,201801,69.357,72
104223,201802,79.542,81.5
104223,201803,78.727,84
104223,201901,73.202,76
104223,201902,70.261,71
104223,201903,78.12,83
104223,202001,75.568,80
104223,202002,67.316,70
104223,202003,77.424,82
104223,202101,75.651,79.5
104223,202102,65.21,67
104223,202103,74.355,75
104223,202201,77.591,79
104223,202202,68.908,77
104223,202301,68,67
124503,201401,80.752,81
124503,201501,84.418,88
124503,201601,80.239,80.5
124503,201701,72.893,74
124503,201801,75.175,76
124503,201901,78.025,80
124503,202001,80.392,81
124503,202101,84.948,87
124503,202201,76.203,76
124503,202301,81.676,83
324033,201401,81.664,83
324033,201402,80.796,82
324033,201403,79.375,82
324033,201501,82.033,83
324033,201502,80.663,82
324033,201503,79.609,80.5
324033,201601,80.945,82
324033,201602,80.972,83
324033,201603,81.268,82.5
324033,201701,83.254,84
324033,201702,81.593,83
324033,201703,80.049,80
324033,201801,84.212,85
324033,201802,82.166,84
324033,201803,80.034,79
324033,201901,82.924,84
324033,201902,85.587,87
324033,202001,86.457,88
324033,202002,88.282,89
324033,202003,85.941,88
324033,202101,89.924,91
324033,202102,91.713,92
324033,202103,91.627,93
324033,202201,89.946,92
324033,202202,90.896,92
324033,202301,92.332,93
274241,201601,81.426,82
274241,201701,82.037,83
274241,201801,81.198,82
274241,201901,82.084,82
274241,202001,83.564,85
274241,202101,80.39,82
274241,202201,79.609,81
274258,201901,92.804,93
274258,202001,93.841,95
274258,202101,93.488,94
274258,202201,95.681,96
134019,201401,75.626,76
134019,201402,72.95,76
134019,201501,75.921,77
134019,201502,71.314,74
134019,201601,74.148,78
134019,201602,70.042,72.5
134019,201701,74.185,75
134019,201702,68.576,73
134019,201801,79.794,81
134019,201802,65.968,72
134019,201901,78.119,81.5
134019,201902,72.759,78
134019,202001,77.792,81
134019,202002,78.662,82
134019,202101,81.254,84
134019,202102,80.271,83
134019,202201,75.055,78
134019,202202,79.939,84
134019,202301,78.64,79
044131,201801,76.373,78
044131,201802,78.782,80
044131,201803,71,76
044131,201901,78.959,80
044131,201902,82.097,84
044131,202001,76.792,80
044131,202002,77.904,80
044131,202101,77.675,80
044131,202102,85.24,87
044131,202201,83.741,86
044131,202202,86.105,88
044131,202301,77.227,81
104034,201401,68.661,69
104034,201402,66.88,69
104034,201501,72.024,73.5
104034,201502,75.691,79
104034,201503,66.905,73
104034,201601,75.181,78
104034,201602,71.043,72
104034,201603,70.564,72
104034,201701,68.357,71
104034,201702,73.535,74
104034,201703,76.632,80.5
104034,201801,71.043,73.5
104034,201802,71.538,74
104034,201803,73.491,75
104034,201901,77.055,83
104034,201902,80.926,84
104034,201903,77.56,82
104034,202001,75.17,79
104034,202002,74.685,79
104034,202003,81.564,84
104034,202101,72.702,77
104034,202102,76.371,78
104034,202103,73.69,73
104034,202201,70.024,71
104034,202202,73.898,82
104034,202203,77.286,80.5
104034,202301,73.146,73
335009,201402,77.509,79
335009,201502,75.733,80
335009,201602,78.889,82
335009,201802,76.333,77
335009,201902,77.4,79
335009,202002,71.211,73
334221,201402,79.566,80
334221,201502,78.833,82.5
334221,201602,78.175,80
334221,201702,80.571,80
334221,201802,76.188,77
334221,201902,80.397,82
334221,202002,78.892,79
334221,202102,78.746,81
334221,202202,87.871,90
334222,201402,80.596,79
334222,201502,79.63,82.5
334222,201602,84.214,84
334222,201702,78.353,80
334222,201802,78.939,80
334222,201902,81.217,83
334222,202002,76.065,75
334222,202102,73.392,76
334222,202202,84.731,86
274165,201502,84.694,87
274165,201602,86.667,91
274165,201702,86.623,88
274165,201802,90,92
274165,201902,92.202,94
274165,202002,85.394,88
274165,202102,87.163,90
274165,202202,89.689,92
274253,201802,83.717,84
274253,201902,82.742,84
274253,202002,80.899,82
274253,202102,78.919,80
274253,202202,83.143,84
134020,201402,74.574,77
134020,201501,76.778,80
134020,201502,72.212,76
134020,201601,77.458,82
134020,201602,75.03,79
134020,201603,82.028,86
134020,201701,79.655,83.5
134020,201702,72.206,73
134020,201703,77.121,77
134020,201801,70.636,74
134020,201802,73.582,75
134020,201803,76.409,78.5
134020,201901,72.199,75
134020,201902,78.123,82
134020,201903,86.836,90
134020,202001,78.642,82
134020,202002,80.512,85
134020,202003,77.111,80
134020,202101,75.94,80
134020,202102,73.103,74
134020,202103,68.475,72.5
134020,202201,77.331,79
134020,202202,70.434,75
134020,202301,67.265,68
336537,201402,79.55,81.5
336537,201502,78.639,79
336537,201602,78.25,80
336537,201702,76.791,82
336537,201802,76.443,76.5
336537,201902,77.378,77
336537,202002,75.057,76
336537,202102,76.857,77
336537,202202,79.673,80
334331,201402,,
334331,201502,,
334331,201602,,
334331,201702,,
334331,201802,,
334331,201902,,
334331,202002,,
334331,202102,,
334331,202202,,
334022,201501,80.773,81
334022,201601,81.277,83
334022,201701,82.204,83
334022,201801,86.13,89
334022,201901,80.447,81
336022,201501,81.552,84
336022,201601,85.118,88.5
336022,201701,77.279,78
336022,201801,80.077,83
336022,201901,77.947,78
336022,202001,84.282,87
336022,202101,84.253,86
336022,202201,84.7,87
337403,201501,75.45,78.5
337403,201601,82.83,84
337403,201701,74.055,75
337403,201801,75.098,79
337403,201901,76.368,78
337403,202001,84.754,93
337403,202101,91.976,95
274142,201801,97.782,98
274142,201901,96.971,98
274142,202001,96.416,97
274142,202101,97.534,100
274142,202201,99.046,100
274142,202301,98.931,100
274242,201601,85.637,86
274242,201701,86.223,88
274242,201801,85.308,86
274242,201901,89.444,90
274242,202001,92.305,94
274242,202101,86.711,88
274242,202201,86.415,86
274242,202301,92.95,93
274243,201601,82.787,83
274243,201701,81.854,83
274243,201801,76.325,76
274243,201901,87.79,91
274243,202001,80.726,83
274243,202101,74,76
274243,202201,76.762,77
274259,201901,82.992,85
274259,202001,86.632,88
274259,202101,84.61,86
274260,201901,81.103,82
274260,202001,87.049,88
274260,202101,84.349,86
274260,202201,86.064,87
274260,202301,84.071,86
094423,201402,83.377,85
094423,201502,81.838,86
094423,201602,79.833,82.5
094423,201701,78.906,82
094423,201702,78.571,79
094423,201703,75.929,76.5
094423,201801,77.569,78
094423,201802,78.489,82
094423,201803,88.875,91
094423,201901,80.064,87
094423,201902,80.403,81
094423,202001,77.56,79
094423,202002,71.626,73
094423,202003,78.87,78
094423,202101,75.203,75
094423,202102,67.023,69
094423,202103,81.852,87
094423,202201,71.344,73
094423,202202,82.3,86
335001,201502,94.556,96
335001,201602,94.125,94
335001,201702,92.757,94
335001,201802,93.452,94
335001,201803,94.286,95
335001,201902,94.592,95
335001,202002,92.314,93
335001,202101,92.444,93.5
335001,202102,91.296,92
335001,202202,92.811,93
335010,201502,86.163,85
335010,201602,83.822,86
335010,201702,82.854,85
335010,201802,81.065,82.5
335010,201902,84.047,86
335010,202002,82.787,84
335010,202102,81.955,84
335010,202201,81.982,83
274143,201802,98.07,100
274143,201902,98.819,100
274143,202002,97.472,98
274143,202102,99.674,100
274143,202202,99.74,100
274237,201701,89.759,90
274237,201801,91.308,92
274237,201802,91.21,91
274237,201902,93.188,94
274237,202002,93.217,94
274237,202102,93.353,95
274237,202202,93.446,94
274262,201902,80.029,80
274262,202002,79.157,78
274262,202102,81.967,83
274262,202202,86.411,87
274263,201902,85.017,86
274263,202002,83.642,84.5
274263,202102,80.352,81
276310,201701,84.027,86
276310,201801,82.345,83
276310,201802,75.832,78
276310,201902,77.145,77
276310,202002,78.853,81
276310,202102,82.91,86
276310,202202,78.434,80
334014,201601,96.838,98
334014,201701,95.521,96
334014,201801,93.875,94
334014,201901,94.641,95
334014,202001,95.562,95
334014,202101,94.148,94
334014,202201,92.475,94
335002,201703,94.71,96
335002,201803,96.857,97
335002,201901,95.375,95
335002,201903,96.556,96
335002,202001,96.435,96
335002,202003,96.115,96
335002,202101,93.462,94
335002,202103,93.233,94
335002,202201,94.905,94
335002,202202,96.357,96.5
335002,202203,93.738,95
336533,201501,82.971,84
336533,201602,82.482,84
336533,201701,78.683,81
336533,201801,81,81
336533,201901,78,78
336533,202001,81.296,82
336533,202101,78.455,80.5
336533,202202,83.821,83
274255,201901,98.235,100
274255,202001,98.596,100
274255,202101,97.605,99
274323,201901,75.356,76.5
274323,202001,77.732,78
274323,202101,79.943,81
274323,202201,80.183,82
274323,202301,81.122,82
274348,201901,90.317,92
274348,202001,88.739,89
274348,202101,84.867,86
274348,202201,85.131,87
274348,202301,81.407,82.5
335003,202001,95.062,95
335003,202101,94.72,95
335003,202102,94.52,95
335003,202103,94.2,95
335003,202201,93.381,94
335003,202202,94.609,96
335003,202203,95.167,95
335015,201602,96.744,97
335015,201702,97.366,97
335015,201802,94.923,95
335015,201902,95.018,96
335015,202002,95.652,96
335015,202102,92.328,92
335015,202202,92.452,93
274246,201602,79.569,81
274246,201702,84.563,86
274246,201802,83.881,85
274246,201902,83.624,87
274246,202002,90.509,92
274246,202102,80.84,81
274246,202202,85.101,86
274256,201902,99.43,100
274256,202002,98.897,100
274256,202102,97.918,98
274261,201902,84.061,86
274261,202002,80.093,81
274261,202102,80.721,82
274261,202202,77.039,78
274247,201602,73.656,75
274247,201702,77.131,79
274247,201901,78.965,79
274247,202001,85.327,87
274247,202101,91.392,92
274252,201602,75.891,79
274252,201702,71.748,73
274252,201901,80.044,83
274252,202001,83.69,85
274252,202101,83.686,85
274252,202201,83.033,83
274252,202301,79.264,81
274328,201901,87.165,88
274328,202001,90.875,91
274328,202101,83.471,85
274328,202202,83.39,84
274336,201701,84.969,86
274336,201801,78.456,80
274336,201901,82.706,84
274336,202001,88.637,90
274336,202101,87.438,90
274336,202201,82.689,83
274336,202301,86.315,87
274361,201901,86.05,86
274361,202001,83.152,83
274361,202101,85.792,87
274370,202001,98.208,100
274370,202101,98.443,100
274372,202001,84.515,86
274372,202101,82.32,84
274372,202201,84.121,85
274372,202301,88.267,89
274251,201602,86.203,88
274251,201902,85.708,88
274251,202002,86.683,87
274251,202102,89.912,90
274251,202202,89.244,90
274318,201701,87.45,90
274318,201902,83.25,83
274318,202002,93.791,97
274318,202102,84.051,83
274318,202202,79.057,80
274320,201601,84.646,85
274320,201902,93.881,96
274320,202002,90.556,92
274320,202102,88.878,90
274320,202202,87.641,88
274352,201702,87.09,87
274352,201802,86.391,87
274352,201902,91.47,92
274352,202002,90.392,93
274352,202102,90.79,91
274352,202202,85.808,88
274367,201702,85.746,86
274367,201902,81.6,83
274367,202002,90.937,91
274367,202102,89.386,91
274367,202202,87.025,87
274368,201902,79.16,79
274368,202002,68.09,67
274368,202102,77.514,79
274368,202202,71.289,72
274369,201902,82.387,82
274369,202002,82.369,84
274369,202102,83.625,84
274369,202202,86.835,88
274371,202002,99.109,100
274371,202102,99.2,100
Course Number,Average of Medians
044102,
104016,
104018,
114071,
124120,
394800,
274109,
104013,
104135,
114052,
234128,
125802,
274167,
125801,
044105,
104221,
104223,
124503,
324033,
274241,
274258,
134019,
044131,
104034,
335009,
334221,
334222,
274165,
274253,
134020,
336537,
334331,
334022,
336022,
337403,
274142,
274242,
274243,
274259,
274260,
094423,
335001,
335010,
274143,
274237,
274262,
274263,
276310,
334014,
335002,
336533,
274255,
274323,
274348,
335003,
335015,
274246,
274256,
274261,
274247,
274252,
274328,
274336,
274361,
274370,
274372,
274251,
274318,
274320,
274352,
274367,
274368,
274369,
274371,
