,Course Number,Folder,Average,Median,,,
,104223,201803,78.727,84,,,
,104223,201901,73.202,76,,,
,104223,201902,70.261,71,,,
,104223,201903,78.12,83,,,
,104223,202001,75.568,80,,,
,104223,202002,67.316,70,,,
,104223,202003,77.424,82,,,
,104223,202101,75.651,79.5,,,
,104223,202102,65.21,67,,,
,104223,202103,74.355,75,,,
,104223,202201,77.591,79,,,
,104223,202202,68.908,77,,,
,134019,201401,75.626,76,,,
,134019,201402,72.95,76,,,
,134019,201501,75.921,77,,,
,134019,201502,71.314,74,,,
,134019,201601,74.148,78,,,
,134019,201602,70.042,72.5,,,
,134019,201701,74.185,75,,,
,134019,201702,68.576,73,,,
,134019,201801,79.794,81,,,
,134019,201802,65.968,72,,,
,134019,201901,78.119,81.5,,,
,134019,201902,72.759,78,,,
,134019,202001,77.792,81,,,
,134019,202002,78.662,82,,,
,134019,202101,81.254,84,,,
,134019,202102,80.271,83,,,
,134019,202201,75.055,78,,,
,134019,202202,79.896,83,,,
,334274,202101,81.872,82,,,
,334274,202201,81.116,82,,,
,044131,201801,76.373,78,,,
,044131,201802,78.782,80,,,
,044131,201803,71,76,,,
,044131,201901,78.959,80,,,
,044131,201902,82.097,84,,,
,044131,202001,76.792,80,,,
,044131,202002,77.904,80,,,
,044131,202101,77.675,80,,,
,044131,202102,85.24,87,,,
,044131,202201,83.741,86,,,
,044131,202202,86.105,88,,,
,104034,201401,68.661,69,,,
,104034,201402,66.88,69,,,
,104034,201501,72.024,73.5,,,
,104034,201502,75.691,79,,,
,104034,201503,66.905,73,,,
,104034,201601,75.181,78,,,
,104034,201602,71.043,72,,,
,104034,201603,70.564,72,,,
,104034,201701,68.357,71,,,
,104034,201702,73.535,74,,,
,104034,201703,76.632,80.5,,,
,104034,201801,71.043,73.5,,,
,104034,201802,71.538,74,,,
,104034,201803,73.491,75,,,
,104034,201901,77.055,83,,,
,104034,201902,80.926,84,,,
,104034,201903,77.56,82,,,
,104034,202001,75.17,79,,,
,104034,202002,74.685,79,,,
,104034,202003,81.564,84,,,
,104034,202101,72.702,77,,,
,104034,202102,76.371,78,,,
,104034,202103,73.69,73,,,
,104034,202201,70.024,71,,,
,104034,202202,73.596,82,,,
,104034,202203,76.069,80,,,
,336537,201402,79.55,81.5,,,
,336537,201502,78.639,79,,,
,336537,201602,78.25,80,,,
,336537,201702,76.791,82,,,
,336537,201802,76.443,76.5,,,
,336537,201902,77.378,77,,,
,336537,202002,75.057,76,,,
,336537,202102,76.857,77,,,
,336537,202202,77.42,78,,,
,334221,201402,79.566,80,,,
,334221,201502,78.833,82.5,,,
,334221,201602,78.175,80,,,
,334221,201702,80.571,80,,,
,334221,201802,76.188,77,,,
,334221,201902,80.397,82,,,
,334221,202002,78.892,79,,,
,334221,202102,78.746,81,,,
,334221,202202,87.871,90,,,
,335009,201402,77.509,79,,,
,335009,201502,75.733,80,,,
,335009,201602,78.889,82,,,
,335009,201802,76.333,77,,,
,335009,201902,77.4,79,,,
,335009,202002,71.211,73,,,
,334222,201402,80.596,79,,,
,334222,201502,79.63,82.5,,,
,334222,201602,84.214,84,,,
,334222,201702,78.353,80,,,
,334222,201802,78.939,80,,,
,334222,201902,81.217,83,,,
,334222,202002,76.065,75,,,
,334222,202102,73.392,76,,,
,334222,202202,82.782,85,,,
,134113,201501,75.491,78,,,
,134113,201601,75.71,78,,,
,134113,201701,77.271,78,,,
,134113,201801,76.758,79,,,
,134113,201901,77.35,82,,,
,134113,202001,81.181,83,,,
,134113,202101,83.735,90,,,
,134113,202201,79.935,82,,,
,276011,201501,73.173,73.5,,,
,276011,201601,80.968,81,,,
,276011,201701,82.143,82,,,
,276011,201801,82.81,83,,,
,276011,201901,82.403,83.5,,,
,276011,202001,85.578,87,,,
,276011,202101,81.679,84,,,
,276011,202201,81.257,83,,,
,334011,202001,79.207,78.5,,,
,334011,202101,80.088,80.5,,,
,334011,202102,79.059,85,,,
,334011,202201,85.457,88,,,
,334011,202202,80.633,83,,,
,336022,201501,81.552,84,,,
,336022,201601,85.118,88.5,,,
,336022,201701,77.279,78,,,
,336022,201801,79.404,82.5,,,
,336022,201901,77.947,78,,,
,336022,202001,84.282,87,,,
,336022,202101,84.253,86,,,
,336022,202201,84.7,87,,,
,336533,201501,82.971,84,,,
,336533,201602,82.482,84,,,
,336533,201701,78.683,81,,,
,336533,201801,81,81,,,
,336533,201901,78,78,,,
,336533,202001,81.296,82,,,
,336533,202101,78.455,80.5,,,
,336533,202202,78.679,78.5,,,
,334023,202102,84.76,87,,,
,334023,202202,86.29,90,,,
,335001,201502,94.556,96,,,
,335001,201602,94.125,94,,,
,335001,201702,92.757,94,,,
,335001,201802,93.452,94,,,
,335001,201803,94.286,95,,,
,335001,201902,94.592,95,,,
,335001,202002,92.314,93,,,
,335001,202101,92.444,93.5,,,
,335001,202102,91.296,92,,,
,335001,202202,92.811,93,,,
,335010,201502,86.163,85,,,
,335010,201602,83.822,86,,,
,335010,201702,82.854,85,,,
,335010,201802,81.065,82.5,,,
,335010,201902,84.047,86,,,
,335010,202002,82.787,84,,,
,335010,202102,81.955,84,,,
,335010,202201,81.982,83,,,
,334014,201601,96.838,98,,,
,334014,201701,95.521,96,,,
,334014,201801,93.875,94,,,
,334014,201901,94.641,95,,,
,334014,202001,95.562,95,,,
,334014,202101,94.148,94,,,
,334014,202201,92.475,94,,,
,335002,201703,94.71,96,,,
,335002,201803,96.857,97,,,
,335002,201901,95.375,95,,,
,335002,201903,96.556,96,,,
,335002,202001,96.435,96,,,
,335002,202003,96.115,96,,,
,335002,202101,93.462,94,,,
,335002,202103,93.233,94,,,
,335002,202201,94.905,94,,,
,335002,202202,96.333,96.5,,,
,335002,202203,93.725,95,,,
,335015,201602,96.744,97,,,
,335015,201702,97.366,97,,,
,335015,201802,94.923,95,,,
,335015,201902,95.018,96,,,
,335015,202002,95.652,96,,,
,335015,202102,92.328,92,,,
,335015,202202,92.452,93,,,
,335003,202101,94.72,95,,,
,335003,202102,94.52,95,,,
,335003,202103,94.2,95,,,
,335003,202201,93.381,94,,,
,335003,202202,94.609,96,,,
סמסטר,Course Number,Average of Medians,"נק""ז",ממוצע סמסטיראילי,"ציון יחסי לנק""ז",,
סמסטר א',104016,76.0,5,74.91,379.8611111,,
,104018,68.1,5,,340.5882353,,
,114071,76.1,3.5,,266.2019231,,
,125001,74.5,3,,223.4117647,,
,134058,83.5,3,,250.6111111,,
סמסטר ב',104013,78.4,5.5,79.34,431.0625,ממוצע משוכלל בכל הקורסים:,
,104135,80.9,2.5,,202.2321429,81.19911193,
,114052,77.9,3.5,,272.5462963,,
,124801,83.2,2.5,,207.9166667,,
,234128,78.6,4,,314.3636364,,
סמסטר ג',044105,81.4,4,78.39,325.7777778,,"כמצות נק""ז חובה:"
,104221,75.4,4,,301.6363636,,106.5
,104223,75.7,2.5,,189.3,,
,134019,78.1,2.5,,195.1388889,,
,334274,82.0,2,,164,,
סמסטר ד',044131,81.7,5,79.61,408.6363636,,
,104034,76.4,3.5,,267.2788462,,
,336537,78.6,3,,235.6666667,,
,334221,81.3,2.5,,203.1944444,,
,335009,78.3,3,,235,,
,334222,80.5,4,,322,,
סמסטר ה',134113,81.3,3.5,82.48,284.375,,
,276011,82.1,3.5,,287.4375,,
,334011,83.0,4,,332,,
,336022,83.9,2.5,,209.6875,,
סמסטר ו',334023,88.5,3.5,88.35,309.75,,
,335001,94.0,2,,187.9,,
,335010,84.4,3,,253.3125,,
סמסטר ז',334014,95.1,4,95.23,380.5714286,,
,335002,95.4,2,,190.8181818,,
סמסטר ח',335015,95.1,3,95.09,285.4285714,,
,335003,95.0,2,,190,,
