Course Number,Semester,Average,Median,,
114032,202101,90.706,91,,
114032,202102,88.673,89,,
114032,202103,90.52,90,,
114032,202201,88.549,89,,
114032,202202,90.314,90,,
114032,202203,90.43,91,,
114075,201401,75.112,76.5,,
114075,201402,75.438,76,,
114075,201403,69.174,67,,
114075,201501,78.541,84,,
114075,201502,84.881,87,,
114075,201503,76.273,82,,
114075,201601,75.043,78,,
114075,201602,78.442,80,,
114075,201603,83.789,81,,
114075,201701,75.113,75,,
114075,201702,79.22,82,,
114075,201703,78.619,79,,
114075,201801,71.169,73,,
114075,201802,78.628,81,,
114075,201803,84.25,85.5,,
114075,201901,79.648,83,,
114075,201902,77.225,79,,
114075,201903,86.071,85,,
114075,202001,79.467,80,,
114075,202002,74.175,75,,
114075,202101,77.331,79,,
114075,202102,78.662,79,,
114075,202103,84.429,92,,
114075,202201,82.945,86,,
114075,202202,76.774,84,,
114075,202203,85.444,91,,
114075,202301,79.08,80,,
114081,201401,90.75,91,,
114081,201402,89.552,90,,
114081,201403,91.972,93,,
114081,201501,91.177,91,,
114081,201502,89.983,90,,
114081,201601,91.137,92,,
114081,201602,88.734,89,,
114081,201701,91.624,92,,
114081,201702,90.507,91,,
114081,201801,90.561,91,,
114081,201802,90.229,91,,
114081,201901,89.927,90,,
114081,201902,88.527,89,,
114081,202001,90.876,92,,
114081,202002,90.046,91,,
114081,202003,88.814,88,,
114081,202101,90.25,91.5,,
114081,202102,89.14,89,,
114081,202103,89.558,90,,
114081,202201,91.943,92,,
114081,202202,89.02,90,,
114081,202203,91.211,91,,
044105,201401,73.93,76,,
044105,201402,72.964,75,,
044105,201501,80.575,83,,
044105,201502,74.907,79,,
044105,201601,77.977,82,,
044105,201602,77.836,83,,
044105,201701,80.91,83,,
044105,201702,77.25,80,,
044105,201801,86.946,88,,
044105,201802,75.847,80,,
044105,201901,83.438,86,,
044105,201902,74.586,79,,
044105,202001,84.354,88,,
044105,202002,76.689,79,,
044105,202101,84.278,87,,
044105,202102,71.946,75,,
044105,202201,79.835,82,,
044105,202202,78.395,81,,
044105,202301,87.932,92,,
044268,201401,75.315,77.5,,
044268,201402,73.333,75,,
044268,201501,76.452,79,,
044268,201502,74.557,75,,
044268,201601,77.049,79,,
044268,201602,74.19,75,,
044268,201701,82.213,83,,
044268,201702,74.105,77,,
044268,201801,80.477,82,,
044268,201802,76.082,78,,
044268,201901,77.065,78,,
044268,201902,74.143,74,,
044268,202001,76.263,78,,
044268,202002,77.257,79,,
044268,202101,75.701,77,,
044268,202102,73.125,76,,
044268,202201,77.972,80,,
044268,202202,76.821,79.5,,
044268,202301,76.736,78,,
044157,201801,98.222,98,,
044157,201802,96.602,97,,
044157,201803,96.868,97,,
044157,201901,96.472,97,,
044157,201902,97.189,98,,
044157,201903,96.75,97,,
044157,202001,96.63,97,,
044157,202002,94.906,96,,
044157,202003,95.587,96,,
044157,202101,96.008,97,,
044157,202102,95.086,96,,
044157,202103,95.338,96,,
044157,202201,94.341,95,,
044157,202202,95.163,96,,
044157,202203,96.836,97,,
044157,202301,96.432,97,,
104221,201401,75.681,79,,
104221,201402,68.877,71,,
104221,201501,75.003,77,,
104221,201502,68.534,70,,
104221,201503,83.682,88,,
104221,201601,79.97,84,,
104221,201602,76.503,77,,
104221,201701,71.162,73,,
104221,201702,71.782,75,,
104221,201703,78.368,84,,
104221,201801,81.829,83.5,,
104221,201802,74,74,,
104221,201901,69.42,70,,
104221,201902,72.802,76,,
104221,202001,75.874,78,,
104221,202002,68.772,68,,
104221,202003,72.409,78,,
104221,202101,72.095,73,,
104221,202102,70.068,72,,
104221,202103,58.067,55,,
104221,202201,74.995,76,,
104221,202202,69.558,77.5,,
104221,202301,65.088,67,,
104223,201401,73.46,78,,
104223,201402,63.399,66,,
104223,201403,76.794,81,,
104223,201501,74.213,77,,
104223,201502,75.078,76.5,,
104223,201601,76.653,78.5,,
104223,201602,70.703,74,,
104223,201603,64.865,63,,
104223,201701,72.017,76,,
104223,201702,71.944,74,,
104223,201703,72.229,72,,
104223,201801,69.357,72,,
104223,201802,79.542,81.5,,
104223,201803,78.727,84,,
104223,201901,73.202,76,,
104223,201902,70.261,71,,
104223,201903,78.12,83,,
104223,202001,75.568,80,,
104223,202002,67.316,70,,
104223,202003,77.424,82,,
104223,202101,75.651,79.5,,
104223,202102,65.21,67,,
104223,202103,74.355,75,,
104223,202201,77.591,79,,
104223,202202,68.908,77,,
104223,202301,68,67,,
114073,201401,76.885,80,,
114073,201402,73.923,76,,
114073,201501,76.034,77,,
114073,201502,71.071,74,,
114073,201503,76.953,77,,
114073,201601,76.247,78,,
114073,201602,75.091,77,,
114073,201701,74.995,76,,
114073,201702,77.802,80,,
114073,201801,75.946,78,,
114073,201802,76.102,79,,
114073,201901,80.452,82,,
114073,201902,77.253,79,,
114073,202001,81.046,82,,
114073,202002,74.314,76,,
114073,202101,76.562,80,,
114073,202102,84.679,87,,
114073,202201,84.021,85,,
114073,202202,84.842,85,,
114073,202301,79.244,80,,
044127,201802,75.159,76,,
044127,201901,76.536,81,,
044127,201902,79.041,81,,
044127,202001,76.108,79,,
044127,202002,78.314,81,,
044127,202101,72.059,74,,
044127,202102,81.203,84,,
044127,202201,78.621,82,,
044127,202202,84.244,88,,
044127,202301,71.5,73.5,,
044131,201801,76.373,78,,
044131,201802,78.782,80,,
044131,201803,71,76,,
044131,201901,78.959,80,,
044131,201902,82.097,84,,
044131,202001,76.792,80,,
044131,202002,77.904,80,,
044131,202101,77.675,80,,
044131,202102,85.24,87,,
044131,202201,83.741,86,,
044131,202202,86.105,88,,
044131,202301,77.227,81,,
044140,201401,70.703,71,,
044140,201402,75.745,76.5,,
044140,201501,74.562,74.5,,
044140,201502,78.171,81,,
044140,201601,70.481,73,,
044140,201602,72.657,75,,
044140,201701,69.569,73,,
044140,201702,78.459,81,,
044140,201801,75.31,77,,
044140,201802,76.799,80,,
044140,201901,76.53,77,,
044140,201902,73.642,78,,
044140,202001,72.735,73,,
044140,202002,68.901,72,,
044140,202101,73.557,75.5,,
044140,202102,76.062,79,,
044140,202201,64.352,70,,
044140,202202,74.048,82,,
104034,201401,68.661,69,,
104034,201402,66.88,69,,
104034,201501,72.024,73.5,,
104034,201502,75.691,79,,
104034,201503,66.905,73,,
104034,201601,75.181,78,,
104034,201602,71.043,72,,
104034,201603,70.564,72,,
104034,201701,68.357,71,,
104034,201702,73.535,74,,
104034,201703,76.632,80.5,,
104034,201801,71.043,73.5,,
104034,201802,71.538,74,,
104034,201803,73.491,75,,
104034,201901,77.055,83,,
104034,201902,80.926,84,,
104034,201903,77.56,82,,
104034,202001,75.17,79,,
104034,202002,74.685,79,,
104034,202003,81.564,84,,
104034,202101,72.702,77,,
104034,202102,76.371,78,,
104034,202103,73.69,73,,
104034,202201,70.024,71,,
104034,202202,73.898,82,,
104034,202203,77.286,80.5,,
104034,202301,73.146,73,,
044137,201802,78.894,82,,
044137,201901,82.046,85,,
044137,201902,78.296,80,,
044137,202001,76.605,79,,
044137,202002,73.6,76,,
044137,202101,81.247,84,,
044137,202102,78.031,79,,
044137,202201,80.309,83,,
044137,202202,82.937,85,,
