Course Number,Folder,Exam,Max Grade
114052,202102,Exam_B,100
114052,202203,Exam_A,100
114052,202203,Exam_B,100
114052,202001,Exam_A,100
114052,202001,Exam_B,100
114052,201901,Exam_A,100
114052,201901,Exam_B,100
124801,201202,Exam_A,90
124801,202102,Exam_A,100
124801,202102,Exam_B,98
124801,202202,Exam_A,100
124801,202202,Exam_B,99
124801,201102,Exam_A,93
044105,201202,Exam_A,100
044105,202202,Exam_A,100
044105,202202,Exam_B,99
044105,201801,Exam_A,100
044105,201801,Exam_B,100
044105,202102,Exam_A,89
044105,202102,Exam_B,100
044105,201701,Exam_A,100
044105,201701,Exam_B,100
044105,201401,Exam_A,95
044105,201501,Exam_A,100
044105,201501,Exam_B,95
044105,201901,Exam_A,100
044105,201901,Exam_B,100
044105,201502,Exam_A,100
044105,201601,Exam_A,105
044105,201601,Exam_B,100
044105,202101,Exam_A,100
044105,202101,Exam_B,94
044105,202201,Exam_A,100
044105,202201,Exam_B,100
044105,201302,Exam_A,100
044105,201301,Exam_A,100
044105,202001,Exam_A,100
044105,202001,Exam_B,100
044105,201602,Exam_A,100
044105,201602,Exam_B,95
044105,201402,Exam_A,90
044105,202002,Exam_A,97
044105,202002,Exam_B,100
044105,201702,Exam_A,100
044105,201702,Exam_B,90
044105,202301,Exam_A,100
044105,202301,Exam_B,100
044105,201902,Exam_A,100
044105,201902,Exam_B,100
044105,201802,Exam_A,100
044105,201802,Exam_B,97
044105,201201,Exam_A,100
104221,201503,Exam_B,95
104221,202202,Exam_A,96
104221,202202,Exam_B,100
104221,201801,Exam_A,99
104221,201801,Exam_B,99
104221,202102,Exam_A,100
104221,202102,Exam_B,100
104221,201701,Exam_B,93
104221,201703,Exam_A,93
104221,201501,Exam_A,100
104221,201501,Exam_B,100
104221,201901,Exam_A,97
104221,201901,Exam_B,98
104221,201601,Exam_A,102
104221,201502,Exam_A,100
104221,201502,Exam_B,89
104221,202101,Exam_A,99
104221,202101,Exam_B,100
104221,202201,Exam_A,100
104221,202201,Exam_B,95
104221,202003,Exam_A,87
104221,202003,Exam_B,89
104221,202001,Exam_A,105
104221,202001,Exam_B,103
104221,201602,Exam_A,100
104221,202002,Exam_A,100
104221,202002,Exam_B,100
104221,201702,Exam_A,100
104221,201702,Exam_B,98
104221,202301,Exam_A,100
104221,202301,Exam_B,100
104221,201902,Exam_A,96
104221,201902,Exam_B,98
104221,201802,Exam_A,99
104221,201802,Exam_B,95
104221,201201,Exam_A,99
104223,202202,Exam_A,98
104223,202202,Exam_B,100
104223,201801,Exam_A,100
104223,201801,Exam_B,95
104223,201803,Exam_A,98
104223,201803,Exam_B,91
104223,202102,Exam_A,97
104223,202102,Exam_B,92
104223,201701,Exam_A,100
104223,201701,Exam_B,97
104223,202103,Exam_A,94
104223,202103,Exam_B,97
104223,201903,Exam_A,98
104223,201903,Exam_B,91
104223,201401,Exam_A,100
104223,201703,Exam_A,99
104223,201703,Exam_B,100
104223,201501,Exam_A,100
104223,201501,Exam_B,98.25
104223,201403,Exam_B,100
104223,201901,Exam_A,99
104223,201901,Exam_B,98
104223,201502,Exam_A,97
104223,201502,Exam_B,95
104223,201601,Exam_A,98
104223,201601,Exam_B,100
104223,202101,Exam_A,100
104223,202101,Exam_B,99
104223,202201,Exam_A,100
104223,202201,Exam_B,100
104223,201302,Exam_A,100
104223,201301,Exam_A,100
104223,201603,Exam_A,98
104223,201603,Exam_B,95
104223,202001,Exam_A,100
104223,202001,Exam_B,93
104223,201602,Exam_A,97
104223,201602,Exam_B,95
104223,202002,Exam_A,90
104223,202002,Exam_B,97
104223,202301,Exam_A,94
104223,201102,Exam_A,81
104223,201902,Exam_A,85
104223,201902,Exam_B,99
104223,201802,Exam_A,100
104223,201802,Exam_B,96
104223,201201,Exam_A,98
134019,201502,Exam_A,98
134019,201502,Exam_B,99
134019,202202,Exam_A,100
134019,202202,Exam_B,85
134019,202002,Exam_A,98
134019,202002,Exam_B,95
134019,201801,Exam_A,100
134019,201801,Exam_B,91
134019,201702,Exam_A,92
134019,201702,Exam_B,95
134019,202101,Exam_A,98
134019,202101,Exam_B,95
134019,202201,Exam_A,100
134019,202201,Exam_B,98
134019,201602,Exam_A,100.1
134019,201602,Exam_B,90
134019,202301,Exam_A,100
134019,201902,Exam_A,97.65
134019,201802,Exam_A,98
134019,202102,Exam_A,98
134019,202102,Exam_B,92
134019,202001,Exam_A,103
134019,201901,Exam_A,99
134019,201901,Exam_B,95
134019,201402,Exam_A,98
334274,202201,Exam_A,99
334274,202201,Exam_B,101
334274,202101,Exam_A,97.5
334274,202101,Exam_B,100
334274,202301,Exam_A,97.5
044131,202202,Exam_A,105
044131,202202,Exam_B,93
044131,202002,Exam_A,96
044131,202002,Exam_B,100
044131,201801,Exam_A,105
044131,201801,Exam_B,100
044131,202101,Exam_A,99
044131,202101,Exam_B,97
044131,202201,Exam_A,101
044131,202201,Exam_B,102
044131,202301,Exam_A,98
044131,202301,Exam_B,98
044131,201902,Exam_A,100
044131,201902,Exam_B,100
044131,201802,Exam_A,99
044131,201802,Exam_B,98
044131,201803,Exam_B,88
044131,202102,Exam_A,105
044131,202102,Exam_B,92
044131,202001,Exam_A,97
044131,202001,Exam_B,88
044131,201901,Exam_A,99
044131,201901,Exam_B,89
104034,201503,Exam_A,92
104034,201503,Exam_B,85
104034,201202,Exam_A,100
104034,202202,Exam_A,100
104034,202202,Exam_B,100
104034,201801,Exam_A,100
104034,201801,Exam_B,99
104034,201803,Exam_A,100
104034,201803,Exam_B,92
104034,202102,Exam_A,100
104034,202102,Exam_B,100
104034,201701,Exam_B,100
104034,202103,Exam_A,100
104034,202103,Exam_B,68
104034,201903,Exam_A,100
104034,201703,Exam_A,100
104034,201703,Exam_B,100
104034,201501,Exam_A,100
104034,201501,Exam_B,100
104034,201502,Exam_A,100
104034,201502,Exam_B,100
104034,201601,Exam_A,100
104034,201601,Exam_B,100
104034,201203,Exam_A,100
104034,202101,Exam_A,100
104034,202101,Exam_B,100
104034,202201,Exam_A,100
104034,202201,Exam_B,100
104034,201603,Exam_A,100
104034,201603,Exam_B,99
104034,202003,Exam_A,100
104034,202003,Exam_B,95
104034,202001,Exam_A,100
104034,202001,Exam_B,100
