Course Number,Semester,max grade,only below 100,both below 100 and after 2020,שם הקורס
104221,202003,89,89,FALSE,
104221,202101,99,99,FALSE,
104221,202102,100,FALSE,FALSE,
104221,202201,95,95,95,פונקציות מרוכבות והתמרות אינטגרליות
104221,202202,96,96,96,פונקציות מרוכבות והתמרות אינטגרליות
104221,202301,100,FALSE,FALSE,
104223,201102,81,81,FALSE,
104223,201201,98,98,FALSE,
104223,201301,100,FALSE,FALSE,
104223,201302,100,FALSE,FALSE,
104223,201401,100,FALSE,FALSE,
104223,201403,100,FALSE,FALSE,
104223,201501,98.25,98.25,FALSE,
104223,201502,97,97,FALSE,
104223,201601,98,98,FALSE,
104223,201602,97,97,FALSE,
104223,201603,98,98,FALSE,
104223,201701,97,97,FALSE,
104223,201703,99,99,FALSE,
104223,201801,95,95,FALSE,
104223,201802,96,96,FALSE,
104223,201803,98,98,FALSE,
104223,201901,99,99,FALSE,
104223,201902,99,99,FALSE,
104223,201903,98,98,FALSE,
104223,202001,93,93,FALSE,
104223,202002,97,97,FALSE,
104223,202101,99,99,FALSE,
104223,202102,97,97,97,"מד""ח וטורי פורייה"
104223,202103,97,97,97,"מד""ח וטורי פורייה"
104223,202201,100,FALSE,FALSE,
104223,202202,98,98,98,"מד""ח וטורי פורייה"
104223,202301,94,94,94,"מד""ח וטורי פורייה"
134019,201402,98,98,FALSE,
134019,201502,99,99,FALSE,
134019,201602,90,90,FALSE,
134019,201702,95,95,FALSE,
134019,201801,91,91,FALSE,
134019,201802,98,98,FALSE,
134019,201901,99,99,FALSE,
134019,201902,97.65,97.65,FALSE,
134019,202001,103,FALSE,FALSE,
134019,202002,98,98,FALSE,
134019,202101,98,98,FALSE,
134019,202102,98,98,98,מבוא לביוכימיה ואנזימולוגיה
134019,202201,98,98,98,מבוא לביוכימיה ואנזימולוגיה
134019,202202,85,85,85,מבוא לביוכימיה ואנזימולוגיה
134019,202301,100,FALSE,FALSE,
334274,202101,97.5,97.5,FALSE,
334274,202201,99,99,99,אנטומיה
334274,202301,97.5,97.5,97.5,אנטומיה
044131,201801,105,FALSE,FALSE,
044131,201802,99,99,FALSE,
044131,201803,88,88,FALSE,
044131,201901,99,99,FALSE,
044131,201902,100,FALSE,FALSE,
044131,202001,97,97,FALSE,
044131,202002,96,96,FALSE,
044131,202101,99,99,FALSE,
044131,202102,92,92,92,אותות ומערכות
044131,202201,102,FALSE,FALSE,
044131,202202,93,93,93,אותות ומערכות
044131,202301,98,98,98,אותות ומערכות
104034,201102,100,FALSE,FALSE,
104034,201202,100,FALSE,FALSE,
104034,201203,100,FALSE,FALSE,
104034,201501,100,FALSE,FALSE,
104034,201502,100,FALSE,FALSE,
104034,201503,92,92,FALSE,
104034,201601,100,FALSE,FALSE,
104034,201602,100,FALSE,FALSE,
104034,201603,99,99,FALSE,
104034,201701,100,FALSE,FALSE,
104034,201702,100,FALSE,FALSE,
104034,201703,100,FALSE,FALSE,
104034,201801,99,99,FALSE,
104034,201802,100,FALSE,FALSE,
104034,201803,92,92,FALSE,
104034,201902,100,FALSE,FALSE,
104034,201903,100,FALSE,FALSE,
104034,202001,100,FALSE,FALSE,
104034,202002,100,FALSE,FALSE,
104034,202003,95,95,FALSE,
104034,202101,100,FALSE,FALSE,
104034,202102,100,FALSE,FALSE,
104034,202103,68,68,68,מבוא להסתברות ח
104034,202201,100,FALSE,FALSE,
104034,202202,100,FALSE,FALSE,
104034,202203,94,94,94,מבוא להסתברות ח
104034,202301,100,FALSE,FALSE,
336537,201402,96,96,FALSE,
336537,201502,100,FALSE,FALSE,
336537,201702,92,92,FALSE,
336537,201902,93,93,FALSE,
336537,202002,97.5,97.5,FALSE,
336537,202102,84,84,84,ביופיזיקה ונוירופיזיולוגיה
336537,202202,90,90,90,ביופיזיקה ונוירופיזיולוגיה
334221,201202,91,91,FALSE,
334221,202102,86.5,86.5,86.5,יסודות חומרים רפואיים
334221,202202,100,FALSE,FALSE,
335009,201602,95,95,FALSE,
335009,202002,98,98,FALSE,
334222,201902,90,90,FALSE,
334222,202002,78,78,FALSE,
334222,202102,66.5,66.5,66.5,ביומכניקה
334222,202202,99.878,99.878,99.878,ביומכניקה
134113,201101,98,98,FALSE,
134113,201901,97,97,FALSE,
134113,202001,100,FALSE,FALSE,
134113,202101,100,FALSE,FALSE,
134113,202201,100,FALSE,FALSE,
276011,201501,95,95,FALSE,
276011,201601,93,93,FALSE,
276011,201701,94,94,FALSE,
276011,201801,91,91,FALSE,
276011,201901,95,95,FALSE,
276011,202001,85,85,FALSE,
276011,202101,96,96,FALSE,
276011,202201,92,92,92,פזיולוגיה
276011,202301,97,97,97,פזיולוגיה
334011,202001,96.5,96.5,FALSE,
334011,202101,98,98,FALSE,
334011,202102,97.2,97.2,97.2,תכן ביו-חשמלי
334011,202201,94,94,94,תכן ביו-חשמלי
334011,202202,100,FALSE,FALSE,
336022,201501,93,93,FALSE,
336022,201601,100,FALSE,FALSE,
336022,201701,97,97,FALSE,
336022,201801,97,97,FALSE,
336022,201901,96,96,FALSE,
336022,202001,93,93,FALSE,
336022,202101,100,FALSE,FALSE,
336022,202201,93.333,93.333,93.333,מתא לרקמה
336533,201602,96,96,FALSE,
336533,201701,98,98,FALSE,
336533,202202,94,94,94,אופטיקה ופוטוניקה
334023,202102,100,FALSE,FALSE,
